virus,material,temperature,humidity,replicate,time,titer,n_wells,detection_limit_log10_titer,log10_titer,strain,trial_unique_name,grouping_name,trial_unique_id,titer_id
HCoV-19,Aerosols,21-23,65,1,0,316.22776601683825,4,0.5,2.5,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,1
HCoV-19,Aerosols,21-23,65,1,0.5,177.82794100389242,4,0.5,2.25,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,2
HCoV-19,Aerosols,21-23,65,1,1,316.22776601683825,4,0.5,2.5,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,3
HCoV-19,Aerosols,21-23,65,1,2,177.82794100389242,4,0.5,2.25,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,4
HCoV-19,Aerosols,21-23,65,1,3,100,4,0.5,2,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,5
HCoV-19,Aerosols,21-23,65,2,0,1000,4,0.5,3,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,6
HCoV-19,Aerosols,21-23,65,2,0.5,1000,4,0.5,3,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,7
HCoV-19,Aerosols,21-23,65,2,1,316.22776601683825,4,0.5,2.5,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,8
HCoV-19,Aerosols,21-23,65,2,2,56.234132519034915,4,0.5,1.75,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,9
HCoV-19,Aerosols,21-23,65,2,3,316.22776601683825,4,0.5,2.5,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,10
HCoV-19,Aerosols,21-23,65,3,0,1000,4,0.5,3,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,11
HCoV-19,Aerosols,21-23,65,3,0.5,316.22776601683825,4,0.5,2.5,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,12
HCoV-19,Aerosols,21-23,65,3,1,177.82794100389242,4,0.5,2.25,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,13
HCoV-19,Aerosols,21-23,65,3,2,316.22776601683825,4,0.5,2.5,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,14
HCoV-19,Aerosols,21-23,65,3,3,56.234132519034915,4,0.5,1.75,HCoV-19,HCoV-19 Aerosols 21-23°C 65% RH,Aerosols 21-23°C 65% RH,5,15
HCoV-19,Cardboard,21-23,40,1,0,316.22776601683825,4,0.5,2.5,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,16
HCoV-19,Cardboard,21-23,40,1,1,1778.2794100389244,4,0.5,3.25,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,17
HCoV-19,Cardboard,21-23,40,1,4,177.82794100389242,4,0.5,2.25,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,18
HCoV-19,Cardboard,21-23,40,1,8,31.622776601683803,4,0.5,1.5,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,19
HCoV-19,Cardboard,21-23,40,1,24,3.1622776601683795,4,0.5,0.5,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,20
HCoV-19,Cardboard,21-23,40,1,48,3.1622776601683795,4,0.5,0.5,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,21
HCoV-19,Cardboard,21-23,40,1,72,3.1622776601683795,4,0.5,0.5,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,22
HCoV-19,Cardboard,21-23,40,1,96,3.1622776601683795,4,0.5,0.5,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,23
HCoV-19,Cardboard,21-23,40,1,120,3.1622776601683795,4,0.5,0.5,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,24
HCoV-19,Cardboard,21-23,40,1,144,3.1622776601683795,4,0.5,0.5,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,25
HCoV-19,Cardboard,21-23,40,1,168,3.1622776601683795,4,0.5,0.5,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,26
HCoV-19,Cardboard,21-23,40,2,0,177.82794100389242,4,0.5,2.25,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,27
HCoV-19,Cardboard,21-23,40,2,1,316.22776601683825,4,0.5,2.5,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,28
HCoV-19,Cardboard,21-23,40,2,4,100,4,0.5,2,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,29
HCoV-19,Cardboard,21-23,40,2,8,177.82794100389242,4,0.5,2.25,HCoV-19,HCoV-19 Cardboard 21-23°C 40% RH,Cardboard 21-23°C 40% RH,1,30
