"virus";"material";"temperature";"humidity";"replicate";"time";"titer"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"0";"3162.2776601683804"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"0";"5623.4132519034993"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"0";"5623.4132519034993"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"1";"1778.2794100389244"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"1";"5623.4132519034993"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"1";"1778.2794100389244"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"4";"1000"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"4";"1000"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"4";"1000"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"8";"1000"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"8";"316.22776601683825"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"8";"3162.2776601683804"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"24";"100"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"24";"100"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"24";"56.234132519034915"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"48";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"48";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"48";"5.6234132519034921"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"72";"5.6234132519034921"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"72";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"72";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"96";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"96";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"96";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"120";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"120";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"120";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"144";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"144";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"144";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"1";"168";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"2";"168";"3.1622776601683795"
"SARS-CoV-2";"Steel";"21-23";"40";"3";"168";"3.1622776601683795"
"SARS-CoV-2";"Plastic";"21-23";"40";"1";"0";"10000"
"SARS-CoV-2";"Plastic";"21-23";"40";"2";"0";"3162.2776601683804"
"SARS-CoV-2";"Plastic";"21-23";"40";"3";"0";"3162.2776601683804"
"SARS-CoV-2";"Plastic";"21-23";"40";"1";"1";"5623.4132519034993"
"SARS-CoV-2";"Plastic";"21-23";"40";"2";"1";"562.34132519034927"
"SARS-CoV-2";"Plastic";"21-23";"40";"3";"1";"1778.2794100389244"
"SARS-CoV-2";"Plastic";"21-23";"40";"1";"4";"1000"
"SARS-CoV-2";"Plastic";"21-23";"40";"2";"4";"1778.2794100389244"
"SARS-CoV-2";"Plastic";"21-23";"40";"3";"4";"3162.2776601683804"
"SARS-CoV-2";"Plastic";"21-23";"40";"1";"8";"1000"
"SARS-CoV-2";"Plastic";"21-23";"40";"2";"8";"562.34132519034927"
"SARS-CoV-2";"Plastic";"21-23";"40";"3";"8";"3162.2776601683804"
"SARS-CoV-2";"Plastic";"21-23";"40";"1";"24";"562.34132519034927"
"SARS-CoV-2";"Plastic";"21-23";"40";"2";"24";"56.234132519034915"
"SARS-CoV-2";"Plastic";"21-23";"40";"3";"24";"1778.2794100389244"
"SARS-CoV-2";"Plastic";"21-23";"40";"1";"48";"17.782794100389236"
"SARS-CoV-2";"Plastic";"21-23";"40";"2";"48";"56.234132519034915"
